Rodada;Time mandante;;Time visitante
;Palmeiras;X;São Paulo
;Santos;X;Coritiba
;Bragantino;X;Atlético-MG
;Cruzeiro;X;Bahia
;Grêmio;X;Flamengo
;Athletico-PR;X;América-MG
;Fortaleza;X;Botafogo
;Cuiabá;X;Corinthians
30ª;Flamengo;X;Bragantino
;Botafogo;X;Cuiabá
;Palmeiras;X;Bahia
;Corinthians;X;Santos
;Goiás;X;Vasco
;Atlético-MG;X;Fluminense
;Internacional;X;Coritiba
;Athletico-PR;X;São Paulo
;Fortaleza;X;Cruzeiro
;América-MG;X;Grêmio
31ª;Flamengo;X;Santos
;Botafogo;X;Palmeiras
;São Paulo;X;Cruzeiro
;Corinthians;X;Athletico-PR
;Goiás;X;Bragantino
;Atlético-MG;X;Fortaleza
;Internacional;X;América-MG
;Coritiba;X;Grêmio
;Bahia;X;Fluminense
;Cuiabá;X;Vasco
32ª;Fluminense;X;São Paulo
;Vasco;X;Botafogo
;Palmeiras;X;Athletico-PR
;Santos;X;Cuiabá
;Bragantino;X;Corinthians
;Cruzeiro;X;Internacional
;Grêmio;X;Bahia
;Coritiba;X;Goiás
;Fortaleza;X;Flamengo
;América-MG;X;Atlético-MG
33ª;Flamengo;X;Palmeiras
;Botafogo;X;Grêmio
;São Paulo;X;Bragantino
;Corinthians;X;Atlético-MG
;Goiás;X;Santos
;Cruzeiro;X;Vasco
;Internacional;X;Fluminense
;Athletico-PR;X;Fortaleza
;Bahia;X;Cuiabá
;América-MG;X;Coritiba
34ª;Flamengo;X;Fluminense
;Vasco;X;América-MG
;Palmeiras;X;Internacional
;Santos;X;São Paulo
;Bragantino;X;Botafogo
;Atlético-MG;X;Goiás
;Grêmio;X;Corinthians
;Coritiba;X;Cruzeiro
;Bahia;X;Athletico-PR
;Cuiabá;X;Fortaleza
35ª;Fluminense;X;Coritiba
;Botafogo;X;Santos
;São Paulo;X;Cuiabá
;Corinthians;X;Bahia
;Goiás;X;Cruzeiro
;Atlético-MG;X;Grêmio
;Internacional;X;Bragantino
;Athletico-PR;X;Vasco
;Fortaleza;X;Palmeiras
;América-MG;X;Flamengo
36ª;Flamengo;X;Atlético-MG
;Vasco;X;Corinthians
;Palmeiras;X;América-MG
;Santos;X;Fluminense
;Bragantino;X;Fortaleza
;Cruzeiro;X;Athletico-PR
;Grêmio;X;Goiás
;Coritiba;X;Botafogo
;Bahia;X;São Paulo
;Cuiabá;X;Internacional
37ª;Flamengo;X;Cuiabá
;Botafogo;X;Cruzeiro
;Palmeiras;X;Fluminense
;Corinthians;X;Internacional
;Bragantino;X;Coritiba
;Atlético-MG;X;São Paulo
;Grêmio;X;Vasco
;Athletico-PR;X;Santos
;Fortaleza;X;Goiás
;América-MG;X;Bahia
38ª;Fluminense;X;Grêmio
;Vasco;X;Bragantino
;São Paulo;X;Flamengo
;Santos;X;Fortaleza
;Goiás;X;América-MG
;Cruzeiro;X;Palmeiras
;Internacional;X;Botafogo
;Coritiba;X;Corinthians
;Bahia;X;Atlético-MG
;Cuiabá;X;Athletico-PR
